"id_cliente","sector","antiguedad","ratio_liquidez","endeudamiento","default","trimestre"
"CLI-00001","servicios",1.9,1.322,0.728,0,4
"CLI-00002","servicios",7.8,1.086,0.168,0,2
"CLI-00003","comercio",7,1.224,0.686,0,7
"CLI-00004","comercio",7.8,1.376,0.405,0,3
"CLI-00005","servicios",3.7,1.295,0.683,0,2
"CLI-00006","comercio",5.1,1.015,0.373,0,4
"CLI-00007","manufactura",17.4,1.932,0.222,0,2
"CLI-00008","construccion",2.3,1.531,0.313,0,1
"CLI-00009","comercio",3.7,2.43,0.163,0,4
"CLI-00010","servicios",3.8,1.281,0.101,0,4
"CLI-00011","comercio",2.6,1.44,0.214,0,4
"CLI-00012","servicios",4.5,1.494,0.784,0,6
"CLI-00013","comercio",11.7,2.567,0.501,0,5
"CLI-00014","construccion",3.7,1.91,0.422,0,8
"CLI-00015","comercio",3.3,1.746,0.415,0,6
"CLI-00016","manufactura",1.2,2.098,0.685,0,5
"CLI-00017","manufactura",1.2,2.505,0.694,1,4
"CLI-00018","comercio",4.9,1.719,0.879,0,3
"CLI-00019","manufactura",14.5,2.35,0.499,0,4
"CLI-00020","comercio",3.9,2.291,0.163,0,6
"CLI-00021","manufactura",3,1.693,0.358,0,6
"CLI-00022","manufactura",5.3,1.682,0.486,0,1
"CLI-00023","comercio",1.8,2.107,0.753,0,1
"CLI-00024","comercio",3.7,1.493,0.77,0,6
"CLI-00025","manufactura",4.3,2.048,0.148,0,6
"CLI-00026","comercio",10.6,1.622,0.653,0,1
"CLI-00027","manufactura",2.3,1.531,0.723,0,5
"CLI-00028","comercio",2.3,1.636,0.275,0,4
"CLI-00029","comercio",13.3,0.848,0.791,0,1
"CLI-00030","servicios",29.8,1.659,0.4,0,6
"CLI-00031","agro",8.2,1.287,0.303,0,5
"CLI-00032","comercio",3.1,0.867,0.711,0,2
"CLI-00033","servicios",31.4,0.628,0.128,0,4
"CLI-00034","comercio",5.1,0.647,0.824,1,1
"CLI-00035","servicios",4.2,0.687,0.295,0,2
"CLI-00036","manufactura",8.3,1.431,0.555,0,3
"CLI-00037","comercio",3.2,1.581,0.112,0,1
