"sku","fecha","demanda","promocion","estacionalidad"
"SKU-001",2025-01-06,105,0,0.702
"SKU-001",2025-01-13,66,0,0.709
"SKU-001",2025-01-20,15,0,0.719
"SKU-001",2025-01-27,18,0,0.734
"SKU-001",2025-02-03,64,0,0.753
"SKU-001",2025-02-10,60,0,0.775
"SKU-001",2025-02-17,38,0,0.801
"SKU-001",2025-02-24,79,0,0.83
"SKU-001",2025-03-03,0,0,0.861
"SKU-001",2025-03-10,140,0,0.894
"SKU-001",2025-03-17,0,0,0.928
"SKU-001",2025-03-24,110,0,0.964
"SKU-001",2025-03-31,110,0,1
"SKU-001",2025-04-07,16,0,1.036
"SKU-001",2025-04-14,63,0,1.072
"SKU-001",2025-04-21,21,0,1.106
"SKU-001",2025-04-28,0,0,1.139
"SKU-001",2025-05-05,8,0,1.17
"SKU-001",2025-05-12,50,0,1.199
"SKU-001",2025-05-19,41,0,1.225
"SKU-001",2025-05-26,0,0,1.247
"SKU-001",2025-06-02,21,0,1.266
"SKU-001",2025-06-09,39,0,1.281
"SKU-001",2025-06-16,74,0,1.291
"SKU-001",2025-06-23,41,0,1.298
"SKU-001",2025-06-30,7,0,1.3
"SKU-001",2025-07-07,16,1,1.298
"SKU-001",2025-07-14,49,0,1.291
"SKU-001",2025-07-21,108,0,1.281
"SKU-001",2025-07-28,34,0,1.266
"SKU-001",2025-08-04,56,0,1.247
"SKU-001",2025-08-11,47,0,1.225
"SKU-001",2025-08-18,14,0,1.199
"SKU-001",2025-08-25,6,0,1.17
"SKU-001",2025-09-01,253,0,1.139
"SKU-001",2025-09-08,56,0,1.106
"SKU-001",2025-09-15,62,0,1.072
"SKU-001",2025-09-22,28,0,1.036
"SKU-001",2025-09-29,8,0,1
"SKU-001",2025-10-06,23,0,0.964
"SKU-001",2025-10-13,58,0,0.928
"SKU-001",2025-10-20,52,0,0.894
"SKU-001",2025-10-27,194,1,0.861
"SKU-001",2025-11-03,0,0,0.83
"SKU-001",2025-11-10,3,0,0.801
"SKU-001",2025-11-17,0,0,0.775
"SKU-001",2025-11-24,33,1,0.753
"SKU-001",2025-12-01,0,0,1.234
"SKU-001",2025-12-08,14,1,1.219
"SKU-001",2025-12-15,9,0,1.209
"SKU-001",2025-12-22,0,0,1.202
"SKU-001",2025-12-29,19,0,1.2
"SKU-002",2025-01-06,0,0,0.702
"SKU-002",2025-01-13,13,0,0.709
"SKU-002",2025-01-20,0,1,0.719
"SKU-002",2025-01-27,0,0,0.734
"SKU-002",2025-02-03,0,0,0.753
"SKU-002",2025-02-10,0,0,0.775
"SKU-002",2025-02-17,0,1,0.801
"SKU-002",2025-02-24,16,0,0.83
"SKU-002",2025-03-03,0,0,0.861
"SKU-002",2025-03-10,0,0,0.894
"SKU-002",2025-03-17,0,0,0.928
"SKU-002",2025-03-24,0,0,0.964
"SKU-002",2025-03-31,0,0,1
"SKU-002",2025-04-07,0,1,1.036
"SKU-002",2025-04-14,6,0,1.072
"SKU-002",2025-04-21,0,0,1.106
"SKU-002",2025-04-28,0,0,1.139
"SKU-002",2025-05-05,0,0,1.17
"SKU-002",2025-05-12,0,0,1.199
"SKU-002",2025-05-19,19,0,1.225
"SKU-002",2025-05-26,0,0,1.247
"SKU-002",2025-06-02,0,0,1.266
"SKU-002",2025-06-09,0,0,1.281
"SKU-002",2025-06-16,0,0,1.291
"SKU-002",2025-06-23,4,0,1.298
"SKU-002",2025-06-30,0,0,1.3
"SKU-002",2025-07-07,44,0,1.298
"SKU-002",2025-07-14,0,0,1.291
"SKU-002",2025-07-21,0,0,1.281
"SKU-002",2025-07-28,0,0,1.266
"SKU-002",2025-08-04,0,0,1.247
"SKU-002",2025-08-11,0,0,1.225
