"id_poliza","sector","zona","antiguedad","exposure","n_siniestros"
"POL-00001","servicios","urbana",1.4,0.99,0
"POL-00002","servicios","rural",2.9,0.75,0
"POL-00003","comercio","urbana",2.8,0.54,3
"POL-00004","comercio","urbana",16.2,0.66,0
"POL-00005","servicios","urbana",4.2,0.74,3
"POL-00006","comercio","suburbana",9.2,0.91,0
"POL-00007","manufactura","suburbana",1.5,0.92,0
"POL-00008","construccion","rural",9,0.53,0
"POL-00009","comercio","suburbana",2.4,0.85,1
"POL-00010","servicios","suburbana",3.7,0.89,0
"POL-00011","comercio","suburbana",3.6,0.61,2
"POL-00012","servicios","suburbana",3.4,0.93,2
"POL-00013","comercio","urbana",3.7,0.69,0
"POL-00014","construccion","suburbana",1.5,0.63,0
"POL-00015","comercio","suburbana",0.5,0.88,1
"POL-00016","manufactura","urbana",3.7,0.52,1
"POL-00017","manufactura","urbana",2.5,0.95,2
"POL-00018","comercio","suburbana",7.1,0.62,1
"POL-00019","manufactura","urbana",4.4,0.78,1
"POL-00020","comercio","rural",4.3,0.51,1
"POL-00021","manufactura","rural",4.1,0.9,0
"POL-00022","manufactura","suburbana",1.2,0.75,0
"POL-00023","comercio","urbana",1.8,0.65,1
"POL-00024","comercio","urbana",1.5,0.64,2
"POL-00025","manufactura","suburbana",5.9,0.61,0
"POL-00026","comercio","suburbana",3.9,0.99,0
"POL-00027","manufactura","suburbana",12.3,0.58,0
"POL-00028","comercio","suburbana",2,0.92,1
"POL-00029","comercio","urbana",4.7,0.73,0
"POL-00030","servicios","suburbana",1.9,0.7,0
"POL-00031","agro","suburbana",10.4,0.57,1
"POL-00032","comercio","urbana",1.8,0.73,0
"POL-00033","servicios","urbana",1.6,0.84,1
"POL-00034","comercio","suburbana",2.7,0.93,0
"POL-00035","servicios","suburbana",8.1,0.57,1
"POL-00036","manufactura","urbana",13.9,0.71,1
"POL-00037","comercio","rural",4.5,0.86,3
"POL-00038","manufactura","urbana",2.9,0.66,1
"POL-00039","construccion","rural",4.4,0.78,0
"POL-00040","manufactura","rural",12.1,0.59,0
"POL-00041","manufactura","urbana",6.1,0.67,7
"POL-00042","construccion","rural",3.1,0.87,0
"POL-00043","manufactura","urbana",1.1,0.63,4
"POL-00044","manufactura","suburbana",6.1,0.7,1
"POL-00045","comercio","rural",7.1,0.79,1
"POL-00046","comercio","urbana",6.7,0.53,0
"POL-00047","agro","urbana",10.7,0.85,1
"POL-00048","comercio","rural",6.7,0.63,0
"POL-00049","manufactura","suburbana",4.1,0.76,1
"POL-00050","comercio","suburbana",5.4,0.88,1
"POL-00051","agro","urbana",3.6,0.57,1
"POL-00052","servicios","urbana",5.1,0.62,0
"POL-00053","agro","urbana",1.4,0.8,3
"POL-00054","construccion","rural",10.1,0.52,2
"POL-00055","manufactura","suburbana",1.1,0.54,1
"POL-00056","servicios","rural",3.8,0.62,0
"POL-00057","servicios","urbana",4,0.68,1
"POL-00058","comercio","rural",2.4,0.68,3
"POL-00059","agro","urbana",1,0.97,2
"POL-00060","comercio","urbana",9.8,0.75,2
"POL-00061","comercio","urbana",7.5,0.92,0
"POL-00062","construccion","urbana",2.8,0.75,5
"POL-00063","servicios","suburbana",10.6,0.97,0
"POL-00064","manufactura","urbana",2.5,0.99,0
"POL-00065","manufactura","rural",7.2,0.72,0
"POL-00066","comercio","urbana",4.7,0.84,2
"POL-00067","servicios","urbana",7.8,0.61,2
"POL-00068","manufactura","urbana",2.4,0.55,0
"POL-00069","servicios","urbana",3.2,0.93,1
"POL-00070","servicios","urbana",8.2,1,2
"POL-00071","construccion","urbana",1.9,0.64,3
"POL-00072","manufactura","rural",4.6,0.97,3
"POL-00073","servicios","suburbana",3.9,1,0
"POL-00074","construccion","suburbana",3.2,0.97,9
"POL-00075","comercio","suburbana",8.2,0.97,5
"POL-00076","servicios","urbana",1.4,0.83,2
"POL-00077","servicios","urbana",8.2,0.61,1
"POL-00078","manufactura","rural",2.8,0.59,0
"POL-00079","comercio","suburbana",2.6,0.72,3
"POL-00080","construccion","urbana",11.6,0.79,4
"POL-00081","comercio","urbana",3.3,0.51,0
"POL-00082","agro","suburbana",4.7,0.99,0
"POL-00083","construccion","suburbana",2.2,0.96,5
"POL-00084","agro","suburbana",11.3,0.84,0
"POL-00085","comercio","urbana",8.5,0.61,3
"POL-00086","agro","suburbana",2.3,0.95,1
"POL-00087","servicios","urbana",5.5,0.59,6
"POL-00088","agro","suburbana",6.5,0.91,1
"POL-00089","comercio","rural",4.9,0.96,1
"POL-00090","comercio","suburbana",4,0.92,4
"POL-00091","agro","rural",4.9,0.53,2
"POL-00092","servicios","suburbana",11.1,0.69,0
"POL-00093","construccion","suburbana",4.2,0.75,2
"POL-00094","comercio","urbana",2.3,0.7,2
"POL-00095","manufactura","rural",5.7,0.67,0
"POL-00096","manufactura","urbana",9.4,0.64,0
"POL-00097","construccion","rural",15.9,0.59,1
"POL-00098","manufactura","urbana",17,0.8,0
"POL-00099","servicios","urbana",13.5,0.86,0
"POL-00100","manufactura","suburbana",4.1,0.61,1
"POL-00101","comercio","suburbana",3.6,0.85,2
"POL-00102","construccion","suburbana",4.9,0.9,3
"POL-00103","manufactura","urbana",3.1,0.56,2
"POL-00104","comercio","suburbana",8.8,0.66,1
"POL-00105","comercio","urbana",8.6,0.51,2
"POL-00106","comercio","urbana",5.1,0.95,0
"POL-00107","servicios","suburbana",2.7,0.66,0
"POL-00108","servicios","rural",2.6,0.84,1
"POL-00109","comercio","rural",13,0.95,0
"POL-00110","servicios","rural",6.8,0.87,1
"POL-00111","manufactura","urbana",4.4,0.8,1
"POL-00112","construccion","urbana",5.3,0.89,6
"POL-00113","comercio","suburbana",2,0.87,0
"POL-00114","manufactura","rural",1.7,0.79,2
"POL-00115","comercio","rural",1.6,0.89,3
"POL-00116","comercio","suburbana",6,0.95,1
"POL-00117","servicios","suburbana",1.6,0.93,1
"POL-00118","comercio","urbana",8.2,0.65,1
"POL-00119","comercio","urbana",2,0.74,2
"POL-00120","construccion","suburbana",2.8,0.96,1
"POL-00121","manufactura","rural",9.4,0.76,1
"POL-00122","comercio","urbana",5.1,0.82,0
"POL-00123","servicios","suburbana",5.7,0.86,0
"POL-00124","construccion","urbana",6.1,0.53,2
"POL-00125","manufactura","rural",3.2,0.96,1
"POL-00126","comercio","urbana",1,0.81,2
"POL-00127","manufactura","urbana",14,0.71,2
"POL-00128","manufactura","urbana",8.3,0.91,0
"POL-00129","comercio","rural",3,0.97,0
"POL-00130","manufactura","rural",4.6,0.51,2
"POL-00131","manufactura","suburbana",1.4,0.66,0
"POL-00132","servicios","suburbana",6.7,0.57,3
"POL-00133","comercio","suburbana",0.6,0.81,0
"POL-00134","comercio","urbana",1.2,0.86,3
"POL-00135","construccion","urbana",5.9,0.79,0
"POL-00136","comercio","urbana",1.5,0.73,1
"POL-00137","comercio","rural",1.1,0.53,2
"POL-00138","manufactura","suburbana",2.4,0.98,1
"POL-00139","servicios","suburbana",4.7,0.74,2
"POL-00140","manufactura","suburbana",4,0.79,2
"POL-00141","servicios","urbana",7,0.8,1
"POL-00142","comercio","urbana",3.5,0.51,2
"POL-00143","manufactura","urbana",3,0.86,2
"POL-00144","servicios","suburbana",3.1,0.61,0
"POL-00145","agro","suburbana",9.5,0.91,3
"POL-00146","comercio","rural",3.7,0.95,0
"POL-00147","comercio","urbana",6.2,0.63,2
"POL-00148","servicios","urbana",3.3,0.75,2
"POL-00149","servicios","urbana",7.8,0.96,0
"POL-00150","comercio","suburbana",9.6,0.87,2
"POL-00151","comercio","urbana",2.5,0.64,1
"POL-00152","comercio","suburbana",3.4,0.89,0
"POL-00153","agro","suburbana",3.6,0.74,0
"POL-00154","manufactura","rural",2.8,0.83,0
"POL-00155","construccion","urbana",3.9,0.93,3
"POL-00156","servicios","suburbana",9,0.66,0
"POL-00157","manufactura","urbana",1.7,0.56,2
"POL-00158","servicios","suburbana",9,0.53,1
"POL-00159","construccion","urbana",3.2,0.92,7
"POL-00160","comercio","rural",8.1,0.73,1
"POL-00161","comercio","urbana",7.9,0.98,0
"POL-00162","manufactura","rural",6.3,0.95,2
"POL-00163","agro","urbana",5,0.64,0
"POL-00164","comercio","rural",2.7,0.71,0
"POL-00165","comercio","urbana",4.7,0.91,4
"POL-00166","manufactura","suburbana",11.4,0.85,0
"POL-00167","comercio","rural",5.1,0.64,0
"POL-00168","manufactura","urbana",0.3,0.96,1
"POL-00169","manufactura","rural",1.3,0.6,0
"POL-00170","comercio","suburbana",4.2,0.53,0
"POL-00171","construccion","suburbana",4.8,0.85,0
"POL-00172","servicios","suburbana",3,0.61,0
"POL-00173","manufactura","suburbana",8.2,0.83,0
"POL-00174","construccion","urbana",7.9,0.75,3
"POL-00175","comercio","suburbana",5.9,0.98,0
"POL-00176","servicios","urbana",3.4,0.85,8
"POL-00177","construccion","rural",8.6,0.89,3
"POL-00178","agro","suburbana",2.4,0.84,0
"POL-00179","agro","urbana",3.2,0.89,0
"POL-00180","manufactura","rural",4.3,0.7,0
"POL-00181","comercio","urbana",4.1,0.52,2
"POL-00182","comercio","rural",1.2,0.59,2
"POL-00183","agro","suburbana",8.6,0.53,0
"POL-00184","servicios","urbana",5,0.76,1
"POL-00185","manufactura","suburbana",5.6,0.9,4
"POL-00186","comercio","rural",1.6,0.91,1
"POL-00187","construccion","suburbana",4.5,0.7,3
"POL-00188","comercio","suburbana",3.3,0.71,0
"POL-00189","comercio","urbana",11.1,0.64,3
"POL-00190","manufactura","urbana",8,0.82,1
"POL-00191","manufactura","rural",12.4,0.75,0
"POL-00192","comercio","urbana",2.4,0.84,0
"POL-00193","comercio","rural",1.5,0.97,2
"POL-00194","agro","urbana",4.8,0.63,1
"POL-00195","manufactura","suburbana",15.8,0.65,0
"POL-00196","manufactura","urbana",10.3,0.78,0
"POL-00197","comercio","rural",4.2,0.95,2
"POL-00198","servicios","suburbana",2.5,0.76,2
"POL-00199","servicios","urbana",8.6,0.68,0
"POL-00200","comercio","urbana",1.9,0.51,0
"POL-00201","construccion","urbana",2,0.91,0
"POL-00202","servicios","urbana",2.7,0.85,0
"POL-00203","manufactura","rural",6.2,0.9,0
"POL-00204","agro","suburbana",2.9,0.63,0
"POL-00205","manufactura","urbana",0.8,0.65,2
